iter	MAE
0	4.938015043
1	4.803198312
2	4.679946346
3	4.559149874
4	4.443652408
5	4.336372993
6	4.226205804
7	4.115280273
8	4.005152106
9	3.906725265
10	3.800099452
11	3.700651625
12	3.605487478
13	3.524076096
14	3.431323011
15	3.350313513
16	3.264369305
17	3.186306496
18	3.113420976
19	3.039018324
20	2.965854194
21	2.888744234
22	2.828932027
23	2.766397328
24	2.703779637
25	2.638359211
26	2.572482055
27	2.505419441
28	2.455708642
29	2.402501428
30	2.34199683
31	2.29198933
32	2.247887674
33	2.190338082
34	2.141476102
35	2.093376789
36	2.052939434
37	2.008385825
38	1.962473574
39	1.912773009
40	1.870559923
41	1.835050036
42	1.79086898
43	1.748731809
44	1.71351548
45	1.68764827
46	1.664266975
47	1.639298482
48	1.611650589
49	1.576335111
50	1.545766354
51	1.511765057
52	1.478792631
53	1.448429292
54	1.421304279
55	1.392258329
56	1.363187723
57	1.334571723
58	1.309881489
59	1.286206941
60	1.265506176
61	1.24345513
62	1.220811709
63	1.198813222
64	1.172991392
65	1.154889251
66	1.141313913
67	1.123730389
68	1.10635207
69	1.090350473
70	1.081275992
71	1.06448147
72	1.042551906
73	1.029399174
74	1.014498628
75	0.9982597016
76	0.9787510468
77	0.9679244374
78	0.9549915156
79	0.9486972856
80	0.9361806124
81	0.9226490876
82	0.9094752784
83	0.8978108671
84	0.8880692179
85	0.8779500111
86	0.8632616739
87	0.846723615
88	0.8334169523
89	0.8236872269
90	0.8099143948
91	0.7997694028
92	0.7918726382
93	0.7841944387
94	0.7746065182
95	0.7632977493
96	0.7524822704
97	0.7466161322
98	0.743244221
99	0.7336751141
100	0.7277483567
101	0.7217402302
102	0.7182138372
103	0.7101468279
104	0.7074020334
105	0.7016819677
106	0.6967367285
107	0.6931242647
108	0.6889287604
109	0.6798659333
110	0.6725026695
111	0.6696372364
112	0.6627097002
113	0.6569335106
114	0.6515601132
115	0.6478352236
116	0.6449318692
117	0.6400355597
118	0.6371170333
119	0.6294760097
120	0.6202055726
121	0.6174301756
122	0.6128984668
123	0.6111957876
124	0.6087036133
125	0.603181329
126	0.6008419213
127	0.5982344086
128	0.5920751214
129	0.5877738247
130	0.5834280536
131	0.5788158363
132	0.5774224512
133	0.570864567
134	0.5694649471
135	0.5671259795
136	0.5649551224
137	0.5631655348
138	0.5612526272
139	0.5598124527
140	0.5556011611
141	0.5543979972
142	0.5463569711
143	0.5417294515
144	0.5381000712
145	0.534033987
146	0.5297754766
147	0.522392148
148	0.5212778992
149	0.5176415103
150	0.5167165894
151	0.5147332802
152	0.5078070966
153	0.5020669141
154	0.4957449663
155	0.4893894754
156	0.4886086729
157	0.4852137928
158	0.482252854
159	0.4772230832
160	0.4731346859
161	0.4700922957
162	0.4646829041
163	0.4599947715
164	0.4575269578
165	0.4518810051
166	0.4462342741
167	0.4457129256
168	0.4410985181
169	0.4403088644
170	0.4357907218
171	0.4333357508
172	0.4295578808
173	0.4247102013
174	0.4192666902
175	0.4149705546
176	0.4101459411
177	0.4058987128
178	0.4019378032
179	0.4006334817
180	0.3968915129
181	0.3952316353
182	0.3903758374
183	0.3866519018
184	0.3830228829
185	0.3799968343
186	0.3770974245
187	0.3761790146
188	0.3722609318
189	0.3674832627
190	0.3643707548
191	0.3631049946
192	0.3613569405
193	0.3577644837
194	0.3549251412
195	0.3531403393
196	0.3507638271
197	0.3469743839
198	0.343758392
199	0.340625416
200	0.3372775541
201	0.3353650207
202	0.3334921979
203	0.3305012526
204	0.326779685
205	0.3237351476
206	0.3206817716
207	0.3184712547
208	0.3168313942
209	0.3133933184
210	0.3108789474
211	0.3098603205
212	0.3076144694
213	0.306825258
214	0.3039025224
215	0.302925204
216	0.3011213352
217	0.3004649963
218	0.2981063137
219	0.2970593293
220	0.2952668163
221	0.2930594044
222	0.2907480375
223	0.289647705
224	0.2878032568
225	0.2854042157
226	0.2846389111
227	0.2834140685
228	0.2828004354
229	0.2802730934
230	0.2776620057
231	0.2762474842
232	0.2757201115
233	0.2751470834
234	0.2732606257
235	0.2724013351
236	0.2700989972
237	0.2680556607
238	0.267230527
239	0.2666225947
240	0.2653189746
241	0.2632738096
242	0.2615300974
243	0.2602236103
244	0.2589570074
245	0.2585899788
246	0.258050756
247	0.2559050396
248	0.255384995
249	0.25388614
250	0.2535016085
251	0.2512041642
252	0.2505286134
253	0.2499968466
254	0.2492850862
255	0.2486842347
256	0.2463803584
257	0.2456053427
258	0.2449253131
259	0.2433065766
260	0.2429133732
261	0.2426801506
262	0.2414797756
263	0.2409655176
264	0.2402972887
265	0.2398857726
266	0.2386635923
267	0.2384035951
268	0.2380568404
269	0.237460034
270	0.2366273808
271	0.2360821397
272	0.2353114416
273	0.2346659393
274	0.2343475028
275	0.2324949736
276	0.2313330353
277	0.2301504793
278	0.2284247563
279	0.2262928636
280	0.2259586295
281	0.2254496058
282	0.225190721
283	0.224968075
284	0.2244192696
285	0.2239957033
286	0.2236520022
287	0.222918797
288	0.2219776473
289	0.2205740056
290	0.2202582774
291	0.2196004037
292	0.2192799082
293	0.2190218759
294	0.2178788087
295	0.2171347632
296	0.2165692964
297	0.2161491697
298	0.2158172343
299	0.2153943435
300	0.214565837
301	0.2133683637
302	0.213138372
303	0.2127367044
304	0.2124605363
305	0.2120718569
306	0.211607578
307	0.2114039938
308	0.21128153
309	0.2110591195
310	0.2108723595
311	0.210711176
312	0.2105742143
313	0.2102662688
314	0.209092962
315	0.2083402423
316	0.2081700008
317	0.2080193931
318	0.2078358693
319	0.2075585324
320	0.2061468648
321	0.2058877667
322	0.2043473912
323	0.2039806421
324	0.2029285483
325	0.2019058122
326	0.2004060821
327	0.199016812
328	0.1974964925
329	0.1972260504
330	0.195060332
331	0.193503025
332	0.1918923849
333	0.1902438767
334	0.1884601325
335	0.1883195104
336	0.1879710554
337	0.1869974337
338	0.1868057497
339	0.1864189916
340	0.1860915695
341	0.184159519
342	0.182345853
343	0.1806289298
344	0.1798242016
345	0.1785372378
346	0.1773650626
347	0.1764287188
348	0.1756389343
349	0.1753031799
350	0.1751670001
351	0.1738056639
352	0.1731669693
353	0.1728460417
354	0.1716293617
355	0.1713251496
356	0.1707829534
357	0.170488204
358	0.1691767292
359	0.1679181126
360	0.1673299154
361	0.1661693669
362	0.1657096932
363	0.1654776964
364	0.164824595
365	0.1645616521
366	0.1642840315
367	0.1639606099
368	0.1634921826
369	0.1631947193
370	0.1629492923
371	0.1627346533
372	0.162587942
373	0.16234109
374	0.1621399309
375	0.1620407605
376	0.1616208564
377	0.1614540647
378	0.1613611966
379	0.1611540406
380	0.1608722843
381	0.1603729142
382	0.1599953996
383	0.1597058308
384	0.1593824879
385	0.1590452045
386	0.1587278185
387	0.1585796475
388	0.1584361871
389	0.1583069199
390	0.1580452455
391	0.1576891133
392	0.157092109
393	0.1565983192
394	0.156326785
395	0.1561810097
396	0.1560052087
397	0.1555334476
398	0.1552657922
399	0.1551220016
400	0.1549158954
401	0.1547655611
402	0.1542941179
403	0.1538776781
404	0.1536846031
405	0.1533566265
406	0.1532821005
407	0.1531004183
408	0.1528024042
409	0.1525612618
410	0.1522236422
411	0.1520339789
412	0.1517086054
413	0.151374019
414	0.151222207
415	0.1510956779
416	0.1509070468
417	0.1507833797
418	0.1506766416
419	0.1500735233
420	0.1499641682
421	0.1485131125
422	0.1483946359
423	0.1482245088
424	0.148148648
425	0.148034807
426	0.1472098379
427	0.146248474
428	0.1460078092
429	0.1459090739
430	0.1457768221
431	0.1455755207
432	0.1454890897
433	0.1453771815
434	0.1443041947
435	0.144046839
436	0.1438452222
437	0.1437791194
438	0.1435234685
439	0.1432831678
440	0.1431128092
441	0.1426669253
442	0.1424828135
443	0.1422718874
444	0.1422132863
445	0.1420620077
446	0.1419602438
447	0.1411037308
448	0.1410463786
449	0.1408086636
450	0.1404487032
451	0.1403635461
452	0.1402597255
453	0.140159883
454	0.1399769609
